OfficialCode,ProgramId,ProgramName
P24A-HNE,921,B.Sc. Hons./Hons. with Research (Mathematics)
P24B-H,58,B.Sc. Hons. Agriculture
P24G-H,844,B.Sc. Hons./Hons. with Research (Forensic Sciences)
P260-H,106,M.Sc. Hons. Biotechnology
P262-H,176,M.Sc. Hons. Zoology
P263-H,154,M.Sc. Hons. Microbiology
P264,140,M.Sc. Food Science and Technology
P265-NN1,979,Masters of Nutrition and Dietetics
P266-H,110,M.Sc. Hons. Chemistry
P268-H,163,M.Sc. Hons. Physics
P269,151,M.Sc. Mathematics
P269-NN-1,836,M.A. Mathematics
P26B-NN1,101,M.Sc. Agronomy (Agriculture)
P26B-NN2,99,M.Sc. Soil Science (Agriculture)
P26B-NN3,103,M.Sc. Genetics and Plant Breeding (Agriculture)
P26B-NN5,361,M.Sc. Entomology (Agriculture)
P26B-NN6,362,M.Sc. Plant Pathology (Agriculture)
P26C,324,M.Sc. Fruit Science (Horticulture)
P26E,371,M.Sc. Vegetable Science (Horticulture)
P26F-NN1,550,M.Sc. Floriculture and Landscaping (Horticulture)
P26G,383,M.Sc. Forensic Sciences
P26G-NN1,1106,M.Sc. Digital Forensics and Cyber Security
P26J,537,M.Sc. Statistics and Data Analytics
P29A-NKF,945,B.Sc. B.Ed. (Secondary Stage) - Four Year Integrated Teacher Education Programme (ITEP)
P2D0,251,Ph.D. (Biotechnology) [Full Time Mode]
P2D0-T,252,Ph.D. (Biotechnology) [Part Time Mode]
P2D1,254,Ph.D. (Botany) [Full Time Mode]
P2D1-T,255,Ph.D. (Botany) [Part Time]
P2D2,274,Ph.D. (Zoology) [Full Time Mode]
P2D2-T,275,Ph.D. (Zoology) [Part Time Mode]
P2D3,270,Ph.D. (Microbiology) [Full Time Mode]
P2D3-T,271,Ph.D. (Microbiology) [Part Time Mode]
P2D4-NN1,420,Ph.D. (Food Science and Technology) [Full Time Mode]
P2D4-TN1,763,Ph.D. (Food Science and Technology) [Part Time Mode]
P2D6,256,Ph.D. (Chemistry) [Full Time Mode]
P2D6-T,257,Ph.D. (Chemistry) [Part Time Mode]
P2D7,290,Ph.D. (Biochemistry) [Full Time Mode]
P2D7-T,291,Ph.D. (Biochemistry) [Part Time Mode]
P2D8,272,Ph.D. (Physics) [Full Time Mode]
P2D8-T,273,Ph.D. (Physics) [Part Time Mode]
P2D9,267,Ph.D. (Mathematics) [Full Time Mode]
P2D9-T,266,Ph.D. (Mathematics) [Part Time Mode]
P2DB-NN1,331,Ph.D. (Agronomy) [Full Time Mode]
P2DB-NN3,246,Ph.D. (Genetics & Plant Breeding) [Full Time Mode]
P2DB-NN5,416,Ph.D. (Entomology) [Full Time Mode]
P2DB-NN6,419,Ph.D. (Plant Pathology) [Full Time Mode]
P2DB-NN8,549,Ph.D. (Soil Science) [Full Time Mode]
P2DC-NN1,429,Ph.D. (Fruit Science) [Full Time Mode]
P2DD,278,Ph.D. (Environmental Sciences) [Full Time Mode]
P2DD-T,279,Ph.D. (Environmental Sciences) [Part Time Mode]
P2DE-NN1,548,Ph.D. (Vegetable Science) [Full Time Mode]
P2DG,529,Ph.D. (Forensic Sciences) [Full Time Mode]
P2DG-T,530,Ph.D. (Forensic Sciences) [Part Time Mode]
P2DK,824,Ph.D. (Statistics) [Full Time Mode]
P2DK-T,880,Ph.D. (Statistics)[Part Time Mode]
P2DL,251,Ph.D. (Bioinformatics) [Full Time Mode]
