official_code,eligibility_base,row_label
P132-NNAA,After 10+2 (12th),B.Tech (CSE - AI and Data Analytics)
P132-NNAH,After 10+2 (12th),B.Tech. CSE- Data Science with ML/ B.Tech . (CSE- Cloud Computing and Gen AI)/ B.Tech. (CSE - Artificial Intelligence and Data Science)/ B.Tech. (ECE - Semiconductor and VLSI Design)/ B.Tech (ECE - Artificial Intelligence and Automation)/ B.Tech (Civil - AI and ML)
P132-NNAB,After 10+2 (12th),B.Tech. CSE- Data Science with ML/ B.Tech . (CSE- Cloud Computing and Gen AI)/ B.Tech. (CSE - Artificial Intelligence and Data Science)/ B.Tech. (ECE - Semiconductor and VLSI Design)/ B.Tech (ECE - Artificial Intelligence and Automation)/ B.Tech (Civil - AI and ML)
P132-NNAK,After 10+2 (12th),B.Tech. (CSE - Artificial Intelligence and Machine Learning) / B.Tech. (CSE - Robotics and Artificial Intelligence)
P132-NNS,After 10+2 (12th),B.Tech. (CSE- Generative AI) [Gen AI]
P132-NNT,After 10+2 (12th),B.Tech. (CSE - Computer Science and Business Systems)
P132-NNAJ,After 10+2 (12th),B.Tech. (CSE - Artificial Intelligence and Machine Learning) / B.Tech. (CSE - Robotics and Artificial Intelligence)
P132-NNAG,After 10+2 (12th),B.Tech (CSE - AI and System Design) with Global Tech Immersion
P132-HNF,After 10+2 (12th),B.Tech (Hons.) (CSE- - Data Science and Data Engineering) / B.Tech (Hons.) (CSE- Cyber Security and Block Chain)
P132-HNG,After 10+2 (12th),B.Tech (Hons.) (CSE- - Data Science and Data Engineering) / B.Tech (Hons.) (CSE- Cyber Security and Block Chain)
P192-NE,After 10+2 (12th),Integrated B.Tech. Computer Science and Engineering - MBA
P133,After 10+2 (12th),"B.Tech - (CSE/ IT), B Tech (CSE) [ 2+2 with international credit transfer option]"
P138,After 10+2 (12th),B.Tech - all branches / B Tech [ 2+2 with international credit transfer option] (except CSE/ IT)
P138-Y,After 10+2 (12th),B.Tech - all branches / B Tech [ 2+2 with international credit transfer option] (except CSE/ IT)
P138-NN1,After 10+2 (12th),B.Tech - all branches / B Tech [ 2+2 with international credit transfer option] (except CSE/ IT)
P138-YN1,After 10+2 (12th),B.Tech - all branches / B Tech [ 2+2 with international credit transfer option] (except CSE/ IT)
P138-NNB,After 10+2 (12th),B.Tech. (ME - Artificial Intelligence and Machine Learning)
P13E,After 10+2 (12th),B.Tech - all branches / B Tech [ 2+2 with international credit transfer option] (except CSE/ IT)
P137,After 10+2 (12th),B.Tech - all branches / B Tech [ 2+2 with international credit transfer option] (except CSE/ IT)
