official_code,base_saarc,base_zone1,base_zone2,saarc_A,saarc_B,saarc_C,zone1_A,zone1_B,zone1_C,zone2_A,zone2_B,zone2_C
P223,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P24G-H,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P22G,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P24A-HNB,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P22A-NN5,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P24A-HNC,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P22A-NN7,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P24A-HND,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P22A-NN6,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P24A-HNE,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P22A-NN8,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P321,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P321-Y,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P340-HNAE,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P340-HNAH,350000.0,7000.0,9500.0,140000.0,175000.0,210000.0,2800.0,3500.0,4200.0,3800.0,4750.0,5700.0
P390-NE,100000.0,2000.0,3500.0,40000.0,50000.0,60000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P320-NN6,100000.0,2000.0,3500.0,40000.0,50000.0,60000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P320-NNG,100000.0,2000.0,3500.0,40000.0,50000.0,60000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P320-NNB,100000.0,2000.0,3500.0,40000.0,50000.0,60000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P320-NNV,100000.0,2000.0,3500.0,40000.0,50000.0,60000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P320-NNX,100000.0,2000.0,3500.0,40000.0,50000.0,60000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P320-NNY,100000.0,2000.0,3500.0,40000.0,50000.0,60000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P320-NNZ,100000.0,2000.0,3500.0,40000.0,50000.0,60000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P320-NNAA,100000.0,2000.0,3500.0,40000.0,50000.0,60000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P320-NNT,80000.0,2000.0,3500.0,32000.0,40000.0,48000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P322,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P322-Y,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P342-HN9,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P322-NN2,100000.0,2000.0,3500.0,40000.0,50000.0,60000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P322-NN6,100000.0,2000.0,3500.0,40000.0,50000.0,60000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P322-NN7,100000.0,2000.0,3500.0,40000.0,50000.0,60000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P322-NNA,100000.0,2000.0,3500.0,40000.0,50000.0,60000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P323-NN1,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P343-HN2,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P490-HH,140000.0,2500.0,4000.0,56000.0,70000.0,84000.0,1000.0,1250.0,1500.0,1600.0,2000.0,2400.0
P391-HH,140000.0,2500.0,4000.0,56000.0,70000.0,84000.0,1000.0,1250.0,1500.0,1600.0,2000.0,2400.0
P325,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P320-NNAG,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P320-NNM,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P324-NN8,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P344,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P344-Y,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P324-NN6,100000.0,1500.0,3000.0,40000.0,50000.0,60000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P741,120000.0,2000.0,3500.0,48000.0,60000.0,72000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P793-ND2,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P722-NNJ,140000.0,2000.0,3500.0,56000.0,70000.0,84000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P742-NN1,140000.0,2000.0,3500.0,56000.0,70000.0,84000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P742-NN2,140000.0,2000.0,3500.0,56000.0,70000.0,84000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P742-NNM,140000.0,2000.0,3500.0,56000.0,70000.0,84000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P722-NNF,140000.0,2000.0,3500.0,56000.0,70000.0,84000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P742-NN3,140000.0,2000.0,3500.0,56000.0,70000.0,84000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P742-YN3,140000.0,2000.0,3500.0,56000.0,70000.0,84000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P722-NNL,140000.0,2000.0,3500.0,56000.0,70000.0,84000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P742-NNL,140000.0,2000.0,3500.0,56000.0,70000.0,84000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P722-NNG,140000.0,2000.0,3500.0,56000.0,70000.0,84000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P742-NN8,140000.0,2000.0,3500.0,56000.0,70000.0,84000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P722-NNH,140000.0,2000.0,3500.0,56000.0,70000.0,84000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P742-NN5,140000.0,2000.0,3500.0,56000.0,70000.0,84000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P421,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P441,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P724,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P727,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P742-NN6,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P41B,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P422-NN5,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P422-NN7,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P442-NN5,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P442-NN7,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P44G-HN2,160000.0,2500.0,4000.0,64000.0,80000.0,96000.0,1000.0,1250.0,1500.0,1600.0,2000.0,2400.0
P44A-NN3,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P420,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P440-HN4,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P420-NN7,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P42K,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P44K-H,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P42I,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P622,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P625,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P49M-NK2,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P490-NK5,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P29A-NKF,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P540-NNN-D,120000.0,2500.0,4000.0,48000.0,60000.0,72000.0,1000.0,1250.0,1500.0,1600.0,2000.0,2400.0
P5K0-NNKA,160000.0,2500.0,4000.0,64000.0,80000.0,96000.0,1000.0,1250.0,1500.0,1600.0,2000.0,2400.0
P542-NNCA,100000.0,2000.0,3500.0,40000.0,50000.0,60000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P541-NNJ,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P541-NNK,100000.0,2000.0,3500.0,40000.0,50000.0,60000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P541-NND,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P541-NNH,100000.0,2000.0,3500.0,40000.0,50000.0,60000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P541-NNE,100000.0,2000.0,3500.0,40000.0,50000.0,60000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P548,120000.0,2500.0,4000.0,48000.0,60000.0,72000.0,1000.0,1250.0,1500.0,1600.0,2000.0,2400.0
P105-L,60000.0,1500.0,3000.0,24000.0,30000.0,36000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P102-L,60000.0,1500.0,3000.0,24000.0,30000.0,36000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P102-LNP,60000.0,1500.0,3000.0,24000.0,30000.0,36000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P108-L,60000.0,1500.0,3000.0,24000.0,30000.0,36000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P107-L,60000.0,1500.0,3000.0,24000.0,30000.0,36000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P135-L,140000.0,2000.0,3500.0,56000.0,70000.0,84000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P132-L,160000.0,2500.0,4000.0,64000.0,80000.0,96000.0,1000.0,1250.0,1500.0,1600.0,2000.0,2400.0
P132-LNP,200000.0,3000.0,4500.0,80000.0,100000.0,120000.0,1200.0,1500.0,1800.0,1800.0,2250.0,2700.0
P133-L,160000.0,2500.0,4000.0,64000.0,80000.0,96000.0,1000.0,1250.0,1500.0,1600.0,2000.0,2400.0
P138-L,140000.0,2000.0,3500.0,56000.0,70000.0,84000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P138-LN1,140000.0,2000.0,3500.0,56000.0,70000.0,84000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
