official_code,eligibility_base,base_fee,phase1_A,phase1_B,phase1_C,phase1_D,phase2_A,phase2_B,phase2_C,phase2_D,phase3_A,phase3_B,phase3_C,phase3_D,phase4_A,phase4_B,phase4_C,phase4_D,phase5_A,phase5_B,phase5_C,phase5_D
P540-LNN-D,Lateral Entry,120000.0,60000.0,72000.0,84000.0,96000.0,60000.0,72000.0,84000.0,96000.0,66000.0,78000.0,90000.0,102000.0,90000.0,96000.0,102000.0,108000.0,90000.0,96000.0,102000.0,108000.0
P542-L,Lateral Entry,100000.0,50000.0,60000.0,70000.0,80000.0,50000.0,60000.0,70000.0,80000.0,55000.0,65000.0,75000.0,85000.0,75000.0,80000.0,85000.0,90000.0,75000.0,80000.0,85000.0,90000.0
P521-L,Lateral Entry,80000.0,40000.0,48000.0,56000.0,64000.0,40000.0,48000.0,56000.0,64000.0,44000.0,52000.0,60000.0,68000.0,48000.0,56000.0,64000.0,72000.0,52000.0,60000.0,68000.0,72000.0
P521-LN5,Lateral Entry,80000.0,40000.0,48000.0,56000.0,64000.0,40000.0,48000.0,56000.0,64000.0,44000.0,52000.0,60000.0,68000.0,48000.0,56000.0,64000.0,72000.0,52000.0,60000.0,68000.0,72000.0
P521-LN6,Lateral Entry,100000.0,65000.0,70000.0,75000.0,80000.0,65000.0,70000.0,75000.0,80000.0,65000.0,70000.0,75000.0,80000.0,65000.0,70000.0,75000.0,80000.0,65000.0,70000.0,75000.0,80000.0
P521-LNC,Lateral Entry,100000.0,75000.0,80000.0,85000.0,90000.0,75000.0,80000.0,85000.0,90000.0,75000.0,80000.0,85000.0,90000.0,75000.0,80000.0,85000.0,90000.0,75000.0,80000.0,85000.0,90000.0
P521-LN7,Lateral Entry,100000.0,75000.0,80000.0,85000.0,90000.0,75000.0,80000.0,85000.0,90000.0,75000.0,80000.0,85000.0,90000.0,75000.0,80000.0,85000.0,90000.0,75000.0,80000.0,85000.0,90000.0
P371-NNAF,After Graduation,220000.0,88000.0,110000.0,132000.0,154000.0,88000.0,121000.0,143000.0,165000.0,99000.0,132000.0,154000.0,176000.0,110000.0,143000.0,165000.0,187000.0,121000.0,154000.0,176000.0,198000.0
P371-YNAF,After Graduation,220000.0,88000.0,110000.0,132000.0,154000.0,88000.0,121000.0,143000.0,165000.0,99000.0,132000.0,154000.0,176000.0,110000.0,143000.0,165000.0,187000.0,121000.0,154000.0,176000.0,198000.0
P370-NN2F,After Graduation,220000.0,88000.0,110000.0,132000.0,154000.0,88000.0,121000.0,143000.0,165000.0,99000.0,132000.0,154000.0,176000.0,110000.0,143000.0,165000.0,187000.0,121000.0,154000.0,176000.0,198000.0
P370-NN3F,After Graduation,220000.0,88000.0,110000.0,132000.0,154000.0,88000.0,121000.0,143000.0,165000.0,99000.0,132000.0,154000.0,176000.0,110000.0,143000.0,165000.0,187000.0,121000.0,154000.0,176000.0,198000.0
P370-NNAF,After Graduation,220000.0,88000.0,110000.0,132000.0,154000.0,88000.0,121000.0,143000.0,165000.0,99000.0,132000.0,154000.0,176000.0,110000.0,143000.0,165000.0,187000.0,121000.0,154000.0,176000.0,198000.0
P370-NNBF,After Graduation,270000.0,108000.0,135000.0,162000.0,189000.0,108000.0,148500.0,175500.0,202500.0,121500.0,162000.0,189000.0,216000.0,135000.0,175500.0,202500.0,229500.0,148500.0,189000.0,216000.0,243000.0
P370-NN7F,After Graduation,270000.0,108000.0,135000.0,162000.0,189000.0,108000.0,148500.0,175500.0,202500.0,121500.0,162000.0,189000.0,216000.0,135000.0,175500.0,202500.0,229500.0,148500.0,189000.0,216000.0,243000.0
P370-NN6F,After Graduation,270000.0,108000.0,135000.0,162000.0,189000.0,108000.0,148500.0,175500.0,202500.0,121500.0,162000.0,189000.0,216000.0,135000.0,175500.0,202500.0,229500.0,148500.0,189000.0,216000.0,243000.0
P370-NNAB,After Graduation,270000.0,108000.0,135000.0,162000.0,189000.0,108000.0,148500.0,175500.0,202500.0,121500.0,162000.0,189000.0,216000.0,135000.0,175500.0,202500.0,229500.0,148500.0,189000.0,216000.0,243000.0
