P320-NNM,"{'code': 'P320-NNM', 'status': 'CHECKED', 'mismatches': []}"
P324-NN8,"{'code': 'P324-NN8', 'status': 'CHECKED', 'mismatches': []}"
P344,"{'code': 'P344', 'status': 'CHECKED', 'mismatches': []}"
P344-Y,ERROR: All 3 attempts failed for https://webapi.lpu.in/webProgrammes/api/ProgramSearch/GetProgramFeeDetail
P324-NN6,ERROR: All 3 attempts failed for https://webapi.lpu.in/webProgrammes/api/ProgramSearch/GetProgramFeeDetail
P741,"{'code': 'P741', 'status': 'CHECKED', 'mismatches': []}"
P793-ND2,"{'code': 'P793-ND2', 'status': 'CHECKED', 'mismatches': []}"
P722-NNJ,"{'code': 'P722-NNJ', 'status': 'CHECKED', 'mismatches': []}"
P742-NN1,"{'code': 'P742-NN1', 'status': 'CHECKED', 'mismatches': []}"
P742-NN2,"{'code': 'P742-NN2', 'status': 'CHECKED', 'mismatches': []}"
P742-NNM,"{'code': 'P742-NNM', 'status': 'CHECKED', 'mismatches': []}"
P722-NNF,"{'code': 'P722-NNF', 'status': 'CHECKED', 'mismatches': []}"
P742-NN3,"{'code': 'P742-NN3', 'status': 'CHECKED', 'mismatches': []}"
P742-YN3,"{'code': 'P742-YN3', 'status': 'CHECKED', 'mismatches': []}"
P722-NNL,"{'code': 'P722-NNL', 'status': 'CHECKED', 'mismatches': []}"
P742-NNL,"{'code': 'P742-NNL', 'status': 'CHECKED', 'mismatches': []}"
P722-NNG,"{'code': 'P722-NNG', 'status': 'CHECKED', 'mismatches': []}"
P742-NN8,"{'code': 'P742-NN8', 'status': 'CHECKED', 'mismatches': []}"
P722-NNH,"{'code': 'P722-NNH', 'status': 'CHECKED', 'mismatches': []}"
P742-NN5,"{'code': 'P742-NN5', 'status': 'CHECKED', 'mismatches': []}"
P421,"{'code': 'P421', 'status': 'CHECKED', 'mismatches': []}"
P441,"{'code': 'P441', 'status': 'CHECKED', 'mismatches': []}"
P724,"{'code': 'P724', 'status': 'CHECKED', 'mismatches': []}"
P727,"{'code': 'P727', 'status': 'CHECKED', 'mismatches': []}"
P742-NN6,"{'code': 'P742-NN6', 'status': 'CHECKED', 'mismatches': []}"
P41B,"{'code': 'P41B', 'status': 'CHECKED', 'mismatches': []}"
P422-NN5,"{'code': 'P422-NN5', 'status': 'CHECKED', 'mismatches': []}"
P422-NN7,"{'code': 'P422-NN7', 'status': 'CHECKED', 'mismatches': []}"
P442-NN5,"{'code': 'P442-NN5', 'status': 'CHECKED', 'mismatches': []}"
P442-NN7,"{'code': 'P442-NN7', 'status': 'CHECKED', 'mismatches': []}"
P44G-HN2,"{'code': 'P44G-HN2', 'status': 'CHECKED', 'mismatches': []}"
P44A-NN3,"{'code': 'P44A-NN3', 'status': 'CHECKED', 'mismatches': []}"
P420,"{'code': 'P420', 'status': 'CHECKED', 'mismatches': []}"
P440-HN4,"{'code': 'P440-HN4', 'status': 'CHECKED', 'mismatches': []}"
P420-NN7,"{'code': 'P420-NN7', 'status': 'CHECKED', 'mismatches': []}"
P42K,"{'code': 'P42K', 'status': 'CHECKED', 'mismatches': []}"
P44K-H,"{'code': 'P44K-H', 'status': 'CHECKED', 'mismatches': []}"
P42I,"{'code': 'P42I', 'status': 'CHECKED', 'mismatches': []}"
P622,"{'code': 'P622', 'status': 'CHECKED', 'mismatches': []}"
P625,"{'code': 'P625', 'status': 'CHECKED', 'mismatches': []}"
P49M-NK2,"{'code': 'P49M-NK2', 'status': 'CHECKED', 'mismatches': []}"
P490-NK5,"{'code': 'P490-NK5', 'status': 'CHECKED', 'mismatches': []}"
P29A-NKF,"{'code': 'P29A-NKF', 'status': 'CHECKED', 'mismatches': []}"
P540-NNN-D,"{'code': 'P540-NNN-D', 'status': 'CHECKED', 'mismatches': []}"
P5K0-NNKA,"{'code': 'P5K0-NNKA', 'status': 'CHECKED', 'mismatches': []}"
P542-NNCA,"{'code': 'P542-NNCA', 'status': 'CHECKED', 'mismatches': []}"
P541-NNJ,"{'code': 'P541-NNJ', 'status': 'CHECKED', 'mismatches': []}"
P541-NNK,"{'code': 'P541-NNK', 'status': 'CHECKED', 'mismatches': []}"
P541-NND,"{'code': 'P541-NND', 'status': 'CHECKED', 'mismatches': []}"
P541-NNH,"{'code': 'P541-NNH', 'status': 'CHECKED', 'mismatches': []}"
P541-NNE,"{'code': 'P541-NNE', 'status': 'CHECKED', 'mismatches': []}"
P548,"{'code': 'P548', 'status': 'CHECKED', 'mismatches': []}"
P105-L,"{'code': 'P105-L', 'status': 'CHECKED', 'mismatches': []}"
P102-L,"{'code': 'P102-L', 'status': 'CHECKED', 'mismatches': []}"
P102-LNP,"{'code': 'P102-LNP', 'status': 'CHECKED', 'mismatches': []}"
P108-L,"{'code': 'P108-L', 'status': 'CHECKED', 'mismatches': []}"
P107-L,"{'code': 'P107-L', 'status': 'CHECKED', 'mismatches': []}"
P135-L,"{'code': 'P135-L', 'status': 'CHECKED', 'mismatches': []}"
P132-L,"{'code': 'P132-L', 'status': 'CHECKED', 'mismatches': []}"
P132-LNP,"{'code': 'P132-LNP', 'status': 'CHECKED', 'mismatches': []}"
P133-L,"{'code': 'P133-L', 'status': 'CHECKED', 'mismatches': []}"
P138-L,"{'code': 'P138-L', 'status': 'CHECKED', 'mismatches': []}"
P138-LN1,"{'code': 'P138-LN1', 'status': 'CHECKED', 'mismatches': []}"
P137-L,"{'code': 'P137-L', 'status': 'CHECKED', 'mismatches': []}"
P137-LN1,"{'code': 'P137-LN1', 'status': 'CHECKED', 'mismatches': []}"
P136-L,"{'code': 'P136-L', 'status': 'CHECKED', 'mismatches': []}"
P13A-L,"{'code': 'P13A-L', 'status': 'CHECKED', 'mismatches': []}"
P13AF-L,"{'code': 'P13AF-L', 'status': 'CHECKED', 'mismatches': []}"
P131-L,"{'code': 'P131-L', 'status': 'CHECKED', 'mismatches': []}"
P13Q-L,"{'code': 'P13Q-L', 'status': 'CHECKED', 'mismatches': []}"
P139-L,"{'code': 'P139-L', 'status': 'CHECKED', 'mismatches': []}"
P13E-L,"{'code': 'P13E-L', 'status': 'CHECKED', 'mismatches': []}"
P13C-L,"{'code': 'P13C-L', 'status': 'CHECKED', 'mismatches': []}"
P13O-L,"{'code': 'P13O-L', 'status': 'CHECKED', 'mismatches': []}"
P124-L,"{'code': 'P124-L', 'status': 'CHECKED', 'mismatches': []}"
P123-L,"{'code': 'P123-L', 'status': 'CHECKED', 'mismatches': []}"
P321-L,"{'code': 'P321-L', 'status': 'CHECKED', 'mismatches': []}"
P322-L,"{'code': 'P322-L', 'status': 'CHECKED', 'mismatches': []}"
P324-LN8,"{'code': 'P324-LN8', 'status': 'CHECKED', 'mismatches': []}"
P344-L,"{'code': 'P344-L', 'status': 'CHECKED', 'mismatches': []}"
P325-L,"{'code': 'P325-L', 'status': 'CHECKED', 'mismatches': []}"
P722-LNJ,"{'code': 'P722-LNJ', 'status': 'CHECKED', 'mismatches': []}"
P742-LN1,"{'code': 'P742-LN1', 'status': 'CHECKED', 'mismatches': []}"
P742-LN2,"{'code': 'P742-LN2', 'status': 'CHECKED', 'mismatches': []}"
P742-LNM,"{'code': 'P742-LNM', 'status': 'CHECKED', 'mismatches': []}"
P722-LNF,"{'code': 'P722-LNF', 'status': 'CHECKED', 'mismatches': []}"
P742-LN3,"{'code': 'P742-LN3', 'status': 'CHECKED', 'mismatches': []}"
P540-LNN-D,"{'code': 'P540-LNN-D', 'status': 'CHECKED', 'mismatches': []}"
P542-L,"{'code': 'P542-L', 'status': 'CHECKED', 'mismatches': []}"
P521-L,"{'code': 'P521-L', 'status': 'CHECKED', 'mismatches': []}"
P521-LN5,"{'code': 'P521-LN5', 'status': 'CHECKED', 'mismatches': []}"
P521-LN6,"{'code': 'P521-LN6', 'status': 'CHECKED', 'mismatches': []}"
P521-LNC,"{'code': 'P521-LNC', 'status': 'CHECKED', 'mismatches': []}"
P521-LN7,"{'code': 'P521-LN7', 'status': 'CHECKED', 'mismatches': []}"
P371-NNAF,"{'code': 'P371-NNAF', 'status': 'CHECKED', 'mismatches': []}"
P371-YNAF,"{'code': 'P371-YNAF', 'status': 'CHECKED', 'mismatches': []}"
P370-NN2F,"{'code': 'P370-NN2F', 'status': 'CHECKED', 'mismatches': []}"
P370-NN3F,"{'code': 'P370-NN3F', 'status': 'CHECKED', 'mismatches': []}"
P370-NNAF,"{'code': 'P370-NNAF', 'status': 'CHECKED', 'mismatches': []}"
P370-NNBF,"{'code': 'P370-NNBF', 'status': 'CHECKED', 'mismatches': []}"
P370-NN7F,"{'code': 'P370-NN7F', 'status': 'CHECKED', 'mismatches': []}"
P370-NN6F,"{'code': 'P370-NN6F', 'status': 'CHECKED', 'mismatches': []}"
P370-NNAB,"{'code': 'P370-NNAB', 'status': 'CHECKED', 'mismatches': []}"
P370-NNZ,"{'code': 'P370-NNZ', 'status': 'CHECKED', 'mismatches': []}"
P362,"{'code': 'P362', 'status': 'CHECKED', 'mismatches': []}"
P363,"{'code': 'P363', 'status': 'CHECKED', 'mismatches': []}"
P363-NN-1,"{'code': 'P363-NN-1', 'status': 'CHECKED', 'mismatches': []}"
P4AE,"{'code': 'P4AE', 'status': 'CHECKED', 'mismatches': []}"
P4BE-NN1,"{'code': 'P4BE-NN1', 'status': 'CHECKED', 'mismatches': []}"
P375-NN3,"{'code': 'P375-NN3', 'status': 'CHECKED', 'mismatches': []}"
P762-NNJ,"{'code': 'P762-NNJ', 'status': 'CHECKED', 'mismatches': []}"
P772-NN1,"{'code': 'P772-NN1', 'status': 'CHECKED', 'mismatches': []}"
P762-NNM,"{'code': 'P762-NNM', 'status': 'CHECKED', 'mismatches': []}"
P762-NNF,"{'code': 'P762-NNF', 'status': 'CHECKED', 'mismatches': []}"
P762-NNP,"{'code': 'P762-NNP', 'status': 'CHECKED', 'mismatches': []}"
P762-NNL,"{'code': 'P762-NNL', 'status': 'CHECKED', 'mismatches': []}"
P471,"{'code': 'P471', 'status': 'CHECKED', 'mismatches': []}"
P764,"{'code': 'P764', 'status': 'CHECKED', 'mismatches': []}"
P767,"{'code': 'P767', 'status': 'CHECKED', 'mismatches': []}"
P472,"{'code': 'P472', 'status': 'CHECKED', 'mismatches': []}"
P466,"{'code': 'P466', 'status': 'CHECKED', 'mismatches': []}"
P46A,"{'code': 'P46A', 'status': 'CHECKED', 'mismatches': []}"
P46C,"{'code': 'P46C', 'status': 'CHECKED', 'mismatches': []}"
P46G-NN2A,"{'code': 'P46G-NN2A', 'status': 'CHECKED', 'mismatches': []}"
P46A-NN5,"{'code': 'P46A-NN5', 'status': 'CHECKED', 'mismatches': []}"
P46A-NN2,"{'code': 'P46A-NN2', 'status': 'CHECKED', 'mismatches': []}"
P467,"{'code': 'P467', 'status': 'CHECKED', 'mismatches': []}"
P46K,"{'code': 'P46K', 'status': 'CHECKED', 'mismatches': []}"
P468,"{'code': 'P468', 'status': 'CHECKED', 'mismatches': []}"
P46I-NN1,"{'code': 'P46I-NN1', 'status': 'CHECKED', 'mismatches': []}"
P469-NN1,"{'code': 'P469-NN1', 'status': 'CHECKED', 'mismatches': []}"
P463,"{'code': 'P463', 'status': 'CHECKED', 'mismatches': []}"
P4AB,"{'code': 'P4AB', 'status': 'CHECKED', 'mismatches': []}"
P4BB,"{'code': 'P4BB', 'status': 'CHECKED', 'mismatches': []}"
P465,"{'code': 'P465', 'status': 'CHECKED', 'mismatches': []}"
P464,"{'code': 'P464', 'status': 'CHECKED', 'mismatches': []}"
P6A1,"{'code': 'P6A1', 'status': 'CHECKED', 'mismatches': []}"
P661,"{'code': 'P661', 'status': 'CHECKED', 'mismatches': []}"
P6A2,"{'code': 'P6A2', 'status': 'CHECKED', 'mismatches': []}"
P6B2,"{'code': 'P6B2', 'status': 'CHECKED', 'mismatches': []}"
P172,"{'code': 'P172', 'status': 'CHECKED', 'mismatches': []}"
P172-YNQ,"{'code': 'P172-YNQ', 'status': 'CHECKED', 'mismatches': []}"
